15923,2
60133,1
83681,0
65507,0
34263,0
49139,2
58995,0
88490,1
46444,0
60587,0
44546,1
51628,0
40110,2
15998,0
96457,1
70841,0
46139,2
40386,1
98916,1
32190,0
27550,2
24040,2
73516,1
88905,0
42112,0
37740,0
72405,2
47445,1
27158,1
17183,0
42325,1
15180,0
58026,1
81352,0
33133,2
91036,0
22882,1
40842,0
73612,0
15815,2
24049,0
79204,1
46229,2
34669,1
34575,1
20357,0
52445,1
10991,1
57135,1
72369,1
42192,1
43587,1
41553,1
62986,1
70051,0
73642,0
11645,2
72274,0
21524,0
84579,1
59519,1
51386,1
10918,1
57541,0
25125,0
61295,1
53351,0
25463,2
85613,1
85886,1
54621,0
80397,1
67926,1
41588,2
51948,0
28196,0
50376,0
45304,1
27228,2
57326,1
88221,1
97610,1
63048,0
30075,0
60466,2
25685,0
16333,1
78417,0
51525,0
84550,0
23530,0
57284,1
59700,0
13433,2
80197,0
79309,0
47696,1
55633,1
87934,0
27455,1
83466,1
48657,0
86611,2
12193,1
63985,0
20522,0
70324,0
89329,1
11100,1
83240,2
81890,1
72037,1
94607,1
72531,1
98575,0
58342,0
39429,0
18786,1
67049,0
98216,2
37649,0
59751,1
92215,2
22311,1
75125,0
21354,2
22594,1
33394,0
56513,1
59691,1
41997,0
56637,0
97410,1
77746,1
17704,2
61674,2
39860,0
79934,0
55048,2
76833,1
55832,1
32056,0
67841,0
94427,2
96594,2
62689,0
35968,1
14516,0
15866,1
57185,1
91430,2
29203,0
27913,0
46410,0
16856,0
89200,0
45269,2
15437,1
91472,0
98531,2
98685,1
31665,1
38732,2
46983,1
22067,1
79756,0
99563,1
23542,1
83416,1
67418,0
58632,0
35612,0
96905,0
79778,0
90328,0
71350,0
43782,1
58287,0
32061,0
63129,1
74797,1
25177,2
87428,0
39400,1
88745,2
70443,1
90327,0
65545,1
58543,2
79222,2
72401,0
31354,1
29008,1
41590,0
72523,1
14640,1
74909,1
96397,2
34030,0
29113,1
11286,0
41821,0
76379,2
52080,1
51762,0
71592,0
78688,1
76135,0
30778,0
22569,1
48938,1
41438,1
73439,1
